ScaledForward,scaledLeftRightRatio,ScaledSpeed,isTurningLeft,isTurningRight,isKeepingStraight,isAccelerating
23.43388,0.1952567,52.34547,0,1,0,1
29.10767,0.3842867,52.76146,0,0,1,1
28.02624,0.3872355,53.30353,0,0,1,1
25.59,0.3768157,53.3026,0,0,1,1
23.59353,0.2069896,53.98692,0,0,1,1
21.02267,0.2171428,54.59381,0,0,1,1
18.55582,0.2357305,54.35428,0,1,0,1
18.59654,0.2235122,54.61279,0,0,1,1
17.63478,0.1959768,54.37945,0,1,0,1
17.59018,0.157298,54.19598,0,1,0,1
17.95458,0.1152012,53.82814,0,0,1,1
17.81235,0.1037682,53.58139,0,1,0,1
18.59725,0.1061677,53.32773,0,1,0,1
21.96066,0.1014692,53.48336,0,0,1,1
22.71735,0.09130475,53.61341,0,1,0,1
29.97003,0.1828967,53.85136,0,1,0,1
49.41347,0.2263741,53.99043,0,0,1,1
47.74873,0.2241437,54.63062,0,0,1,1
46.36691,0.2182383,55.29014,0,0,1,1
43.79612,0.2076134,55.89454,0,0,1,1
42.05839,0.2255425,55.93728,0,0,1,1
42.41526,0.2849455,55.81049,0,0,1,1
45.57342,0.4095668,56.36665,0,0,1,1
44.78982,0.4749545,56.94175,0,0,1,1
42.25922,0.5274612,57.54926,0,0,1,1
39.23936,0.233116,58.16287,0,0,1,1
37.92837,0.2311978,58.71486,0,0,1,1
35.87927,0.2257561,58.50347,0,1,0,1
41.89254,0.2160315,58.41053,0,1,0,1
41.41883,0.377437,58.57162,0,0,1,1
39.18215,0.4028972,58.97352,0,0,1,1
37.45469,0.4502026,58.60073,0,0,1,1
35.90376,0.4935423,59.12626,0,0,1,1
32.75339,0.4979265,59.64769,0,0,1,1
30.97589,0.2711834,60.20086,0,0,1,1
27.58639,0.2627419,60.27906,0,1,0,1
27.26783,0.2363458,60.03405,0,0,1,1
28.89081,0.2055967,59.52174,0,0,1,1
31.82937,0.1791076,59.38848,0,1,0,1
32.46718,0.1611663,59.33488,0,1,0,1
32.06219,0.3416455,59.06535,0,0,1,1
31.50172,0.3804138,58.82199,0,0,1,1
31.40771,0.3976845,59.28703,0,0,1,1
29.21251,0.3978069,59.79557,0,0,1,1
25.91514,0.1515726,60.34068,0,0,1,1
23.96893,0.1380222,59.95411,0,1,0,1
27.93336,0.3233682,60.27254,0,1,0,1
33.25394,0.3608468,59.96932,0,0,1,1
35.01912,0.3522121,60.40906,0,0,1,1
32.70237,0.3169377,60.89724,0,0,1,1
31.1834,0.298397,61.32561,0,1,0,1
31.90558,0.3038363,61.06053,0,0,1,1
39.14079,0.353399,61.44133,0,1,0,1
50.90369,0.4049585,61.43915,0,0,1,1
51.10989,0.4448882,61.89725,0,0,1,1
47.54984,0.4463241,62.33759,0,0,1,1
44.05967,0.4012711,62.83827,0,0,1,1
42.44165,0.3772198,63.29239,0,0,1,1
38.50802,0.3309845,63.78556,0,0,1,1
35.39014,0.3347109,63.64157,0,0,1,1
33.49855,0.3884563,63.52441,0,0,1,1
31.88255,0.4775126,63.89568,0,0,1,1
28.89704,0.5192608,64.28688,0,0,1,1
25.0363,0.5082427,64.71798,0,0,1,1
23.01904,0.198447,65.16528,0,0,1,1
19.24815,0.1880457,65.29403,0,1,0,1
17.00407,0.1488951,64.64848,0,1,0,1
18.94666,0.1240751,64.13824,0,1,0,1
22.86446,0.1252343,62.81024,0,1,0,1
33.64326,0.2503043,62.06337,0,0,1,1
46.61557,0.3166221,61.09404,0,0,1,1
55.10604,0.3606278,61.3247,0,0,1,1
52.7927,0.3714471,61.01769,0,0,1,1
47.80153,0.4366091,61.48599,0,0,1,1
43.77399,0.4532961,61.91061,0,0,1,1
39.52645,0.463342,62.40742,0,0,1,1
35.64216,0.4733398,62.91171,0,0,1,1
31.3852,0.487077,63.41146,0,0,1,1
29.247,0.4951416,63.8084,0,1,0,1
27.1476,0.5426731,63.64165,1,0,0,1
27.21245,0.5541278,63.77337,0,0,1,1
27.0302,0.5414757,63.03808,0,0,1,0
25.09498,0.02108201,56.64878,0,0,1,0
21.42292,0.02223786,50.81826,0,0,1,0
18.58353,0.02270912,44.92383,0,0,1,0
15.72432,0.3262071,38.73677,0,1,0,0
14.39421,0.3094315,32.65339,0,1,0,0
