ScaledForward,scaledLeftRightRatio,ScaledSpeed,isTurningLeft,isTurningRight,isKeepingStraight,isAccelerating
26.06563,0.4944007,1,42.91526,0,1,0
26.2977,0.4895045,1,43.91013,0,0,1
26.33032,0.4778942,1,44.65451,0,0,1
27.84071,0.4746934,1,45.78098,0,1,0
29.20074,0.4725043,1,46.68921,0,1,0
28.80287,0.4512932,1,46.96614,0,1,0
32.41751,0.4651117,1,47.61055,0,0,1
37.38609,0.4863026,1,48.14516,0,0,1
42.51748,0.5108172,1,48.81199,0,1,0
49.90735,0.5440084,1,49.68673,1,0,0
41.63625,0.5418158,1,50.4356,0,0,1
33.68092,0.5346063,1,51.29747,1,0,0
25.08833,0.5084585,1,51.74249,0,1,0
23.46198,0.4941929,1,52.57374,0,1,0
25.2526,0.4778625,1,53.21812,0,1,0
32.2454,0.4773014,1,53.91953,0,0,1
33.70102,0.4631775,1,54.19136,0,1,0
40.12691,0.4663128,1,55.04631,0,0,1
42.32491,0.4598049,1,55.66882,0,0,1
45.44469,0.4510838,1,56.69559,0,0,1
43.87156,0.4412436,1,57.52668,0,1,0
50.02346,0.4490723,1,58.19286,0,0,1
49.70911,0.4676473,1,58.45776,0,0,1
48.82262,0.5138795,1,59.40334,0,0,1
46.36805,0.5374907,1,60.33159,0,0,1
42.73285,0.5507565,1,60.73648,1,0,0
36.64585,0.5269132,0,59.05952,0,0,1
32.98172,0.4777256,1,55.75816,0,0,1
31.00783,0.4627509,1,56.70723,0,1,0
29.8763,0.4743958,1,56.90543,0,0,1
28.23801,0.4905578,1,57.84453,0,0,1
26.64162,0.4942294,1,58.70962,0,1,0
24.37298,0.5129042,1,59.01924,0,0,1
22.12152,0.5462756,1,59.98242,0,0,1
18.43859,0.5732191,1,60.5933,0,1,0
17.02298,0.5620942,1,60.46729,0,1,0
19.16738,0.539632,1,60.63737,0,0,1
21.83203,0.4760153,1,60.40678,0,1,0
29.37443,0.4163319,1,59.93878,0,1,0
41.28749,0.4020808,1,60.36117,0,0,1
54.48993,0.3902562,1,60.42817,0,0,1
50.76117,0.388665,1,61.21759,0,0,1
48.55015,0.3888203,1,61.46304,0,0,1
44.54981,0.4101923,1,62.33802,0,0,1
40.20121,0.4263345,0,61.92308,0,0,1
36.79345,0.4192041,1,58.03875,0,1,0
32.43178,0.4502478,1,58.51881,0,0,1
28.36833,0.4813877,1,59.37645,0,0,1
27.06653,0.4918513,1,59.82147,0,0,1
26.95355,0.4871028,0,60.73345,0,0,1
27.94635,0.4910029,1,55.00825,0,0,1
27.00789,0.4982822,0,55.17027,0,0,1
24.81077,0.5036157,0,50.35656,0,0,1
21.90109,0.5078867,1,44.63749,0,0,1
19.08234,0.5230131,0,44.07003,0,0,1
16.44147,0.5355971,1,43.01522,0,0,1
15.23525,0.1761792,0,42.1793,0,0,1
